"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000246877",0,0,0.0464287,0,0,0,0,0,0.825914,0.0211881
"ENSG00000178084",0,0.666581,0.0930993,0,0,0,0,0.0643552,0,0.0847184
"ENSG00000260165",7.44024,0,0,0,0,0,0,0,0,0
"ENSG00000136859",0.0521864,0.419412,0,0,0.453403,0.355508,0.283002,0.525636,0,0.0533354
"ENSG00000139304",0,1.1791,0.389324,0,0,0,0,0,0.247008,0
"ENSG00000257474",0,0.809137,0,0,0,0,0,0,0,0.0904289
"ENSG00000091409",3.57298,9.77217,7.87873,3.43818,1.18764,14.5919,6.41468,2.94477,88.575,2.36865
"ENSG00000238579",0,0,0,0,0,0,0,0,0,0
"ENSG00000244522",0,0,0,0,0,0.408507,0,0,0,0.165741
"ENSG00000201758",0,0,0,0,0,0,0,0,0,0
"ENSG00000234176",0.038097,0.203701,0.2132,0,0,0,0,0,0,0
"ENSG00000238698",0,0,0,0,0,0,0,0,0,0
"ENSG00000258706",0,0,0,0,0,0.424175,0,0.130693,0,0
"ENSG00000166780",0.393914,3.91277,2.22642,0.834147,1.39121,2.34599,0.606658,2.13716,2.59293,2.23255
"ENSG00000229849",0,0,0,0,0,0,0,0,4.5594,0
"ENSG00000213703",0,0,0,0,0,0,0,0,0,0.370145
"ENSG00000237581",0,0,0,0,0,0,0,0,0,0
"ENSG00000231009",0,0,0,0,0,0,0.106153,0,0,0
"ENSG00000211751",0,0,0,0,0,0,0,0,0,0
"ENSG00000143390",28.3618,36.6056,35.0403,55.9072,12.2232,41.5162,40.9729,54.4567,62.5068,25.7161
"ENSG00000260984",0,0,0,0,0,0,0,0,0,0
"ENSG00000271040",0,2.10929,0,0,0,0.503038,0,0.309124,0,0.204061
"ENSG00000137878",3.8384e-15,0.539656,0.212071,6.63262e-20,0.0424928,0.166559,0.820806,0.144318,1.4598,6.90949e-87
"ENSG00000251729",0,0,0,0,0,0,0,0,0,0
