"ImageNumber","ObjectNumber","Metadata_FileLocation","Metadata_Frame","Metadata_ImageNumber","Metadata_Label","Metadata_Series","Metadata_subject","AreaShape_Area","AreaShape_Center_X","AreaShape_Center_Y","AreaShape_Compactness","AreaShape_Eccentricity","AreaShape_EulerNumber","AreaShape_Extent","AreaShape_FormFactor","AreaShape_MajorAxisLength","AreaShape_MaxFeretDiameter","AreaShape_MaximumRadius","AreaShape_MeanRadius","AreaShape_MedianRadius","AreaShape_MinFeretDiameter","AreaShape_MinorAxisLength","AreaShape_Orientation","AreaShape_Perimeter","AreaShape_Solidity","Children_NucleiPositiveTMEM_Count","Children_Nuclei_Count","Children_VASPr_Count","Children_VaspPositiveTMEM_Count","Intensity_IntegratedIntensityEdge_TMEM119","Intensity_IntegratedIntensityEdge_VASP","Intensity_IntegratedIntensity_TMEM119","Intensity_IntegratedIntensity_VASP","Intensity_LowerQuartileIntensity_TMEM119","Intensity_LowerQuartileIntensity_VASP","Intensity_MADIntensity_TMEM119","Intensity_MADIntensity_VASP","Intensity_MassDisplacement_TMEM119","Intensity_MassDisplacement_VASP","Intensity_MaxIntensityEdge_TMEM119","Intensity_MaxIntensityEdge_VASP","Intensity_MaxIntensity_TMEM119","Intensity_MaxIntensity_VASP","Intensity_MeanIntensityEdge_TMEM119","Intensity_MeanIntensityEdge_VASP","Intensity_MeanIntensity_TMEM119","Intensity_MeanIntensity_VASP","Intensity_MedianIntensity_TMEM119","Intensity_MedianIntensity_VASP","Intensity_MinIntensityEdge_TMEM119","Intensity_MinIntensityEdge_VASP","Intensity_MinIntensity_TMEM119","Intensity_MinIntensity_VASP","Intensity_StdIntensityEdge_TMEM119","Intensity_StdIntensityEdge_VASP","Intensity_StdIntensity_TMEM119","Intensity_StdIntensity_VASP","Intensity_UpperQuartileIntensity_TMEM119","Intensity_UpperQuartileIntensity_VASP","Location_CenterMassIntensity_X_TMEM119","Location_CenterMassIntensity_X_VASP","Location_CenterMassIntensity_Y_TMEM119","Location_CenterMassIntensity_Y_VASP","Location_Center_X","Location_Center_Y","Location_MaxIntensity_X_TMEM119","Location_MaxIntensity_X_VASP","Location_MaxIntensity_Y_TMEM119","Location_MaxIntensity_Y_VASP","Number_Object_Number"
8,2,NA,0,7,NA,0,16127615,2378,230,231,2.0564400018173,0.821373635700453,1,0.362223914699162,0.104042030385615,96.8027420360709,101.980390271856,10,3.36543832895391,3,59.9672151449742,55.215366814604,11.869451830566,535.927999999999,0.560915202264418,1,0,0,0,26.3947721496224,38.0745110269636,121.920265407301,169.639221265912,0.0418300665915012,0.052287582308054,0.00653594732284546,0.0183006562292576,1.24137814242728,1.14251580900318,0.0797385647892952,0.160784319043159,0.133333340287209,0.160784319043159,0.043772424792077,0.0631418093316146,0.0512700863781756,0.071336930725783,0.0470588244497776,0.0692810490727425,0.0274509806185961,0.0248366016894579,0.0130718955770135,0.0248366016894579,0.0074671572602629,0.02499233681726,0.0141636937540387,0.0257014698056275,0.0562091544270515,0.0888888910412788,244.898680140366,243.323107851937,223.441904592228,224.121118239824,243.720773759462,223.050042052145,249,267,237,228,2
8,3,NA,0,7,NA,0,16127615,2893,1746,341,1.25637381247268,0.596896382526756,1,0.560767590618337,0.250453199785191,74.956163437899,77.1038261048049,18.0277563773199,6.54579566937939,5.65685424949238,65.3720202451158,60.138704147019,-71.1140430496499,380.991999999999,0.769517223034978,1,0,0,0,19.354249028489,28.0666674077511,220.644451381639,217.334647223353,0.0509803928434849,0.0562091507017612,0.0183006562292576,0.0130718983709812,1.79113391654365,1.73192480367332,0.0745098069310188,0.125490203499794,0.303267985582352,0.171241834759712,0.0452202080104883,0.0655763257190446,0.0762683896929273,0.0751243163578823,0.0666666701436043,0.0679738596081734,0.0248366016894579,0.0326797403395176,0.0248366016894579,0.0326797403395176,0.00650081070752064,0.021496338165479,0.0361310308943387,0.0250278019292531,0.091503269970417,0.0875817015767097,1742.83848263902,1741.01612522402,329.706652568971,330.564606296613,1741.26512270999,328.850674040788,1743,1745,346,353,3
8,4,NA,0,7,NA,0,16127615,2554,3395,458,1.76922744820339,0.900122926738185,1,0.426804812834225,0.206681517961995,98.2108115438357,102.415819090607,17.2626765016321,5.69923181958826,5,48.0595373414564,42.7841642257315,56.5479801016105,394.061999999999,0.740611860229085,1,1,0,0,17.5464058294892,16.4065364710987,159.040528103709,120.941179731861,0.0431372560560703,0.0366013087332249,0.01437908411026,0.0104575157165527,1.00048602594614,3.29950538295015,0.0745098069310188,0.0692810490727425,0.162091508507729,0.111111119389534,0.0396081395699531,0.0370350710408548,0.0622711543084218,0.0473536334110653,0.0549019612371922,0.0444444455206394,0.0235294122248888,0.0222222227603197,0.0222222227603197,0.0209150332957506,0.00632726352726879,0.00858782454325502,0.0248382759628767,0.0148866942432534,0.0784313753247261,0.0549019612371922,3400.46608748837,3401.07816686549,461.15461180709,463.604269303065,3400.99569303054,460.305794831637,3424,3397,480,476,4
8,5,NA,0,7,NA,0,16127615,1467,385,614,3.74505841669577,0.981663655747165,1,0.231863442389758,0.169827581954683,116.007382188042,120.830459735946,9.48683298050514,3.31425617380139,3,32.0062013221957,22.1134740378469,-65.068884153991,329.469999999999,0.605822837084452,1,0,0,0,17.7228763997555,16.2248371150345,87.4601334948093,69.7307209651917,0.0431372560560703,0.0392156876623631,0.00915032997727394,0.00653594732284546,3.03249484609928,1.56422593516472,0.0928104594349861,0.077124185860157,0.18823529779911,0.0941176488995552,0.0460334451941701,0.0421424340650246,0.0596183595738305,0.0475328704602534,0.0509803965687752,0.0457516349852085,0.0209150332957506,0.0235294122248888,0.0169934649020433,0.0235294122248888,0.00871408702081838,0.00974073886858101,0.0244629836992844,0.0122910393209763,0.0679738596081734,0.052287582308054,386.087748653656,385.604116680158,606.761893387552,608.189355839772,384.663258350375,609.438991138378,387,402,604,568,5
8,6,NA,0,7,NA,0,16127615,3561,1280,780,2.0540471645802,0.85866971380604,1,0.338240881458967,0.0936502704668304,121.264627933392,137.437258412703,14.560219778561,4.1778265309071,3.60555127546399,76.436964353722,62.1516795108234,40.4748868415457,691.251999999998,0.516948537417435,1,0,0,0,38.9267985075712,51.4483673982322,265.473211342469,309.462755728513,0.0522875860333443,0.0601307190954685,0.0156862773001194,0.0196078456938267,0.877647632855177,1.36269254003453,0.0980392172932625,0.152941182255745,0.240522876381874,0.232679754495621,0.0497785147155642,0.0657907511486346,0.0745501857181884,0.0869033293256144,0.0666666701436043,0.0758169963955879,0.0274509806185961,0.0352941192686558,0.0235294122248888,0.0352941192686558,0.00803523729725123,0.0210720385687816,0.0287410515665662,0.0361176051588149,0.0888888910412788,0.104575164616108,1290.49977102585,1289.82299070899,786.035117946089,786.552317127917,1290.15108115698,785.229710755406,1344,1283,825,786,6
8,7,NA,0,7,NA,0,16127615,4402,3251,1205,2.06648030969346,0.748040583877268,1,0.317994654337933,0.101004360595177,126.60570464169,126.479247309588,17.6918060129541,5.25028394506864,4.12310562561766,98.1027994545252,84.0222538390785,-76.2057646052735,740.047999999998,0.486059736101143,1,1,0,0,37.488890171051,38.1516352090985,269.385629827157,247.667981410399,0.0457516349852085,0.0418300665915012,0.010457519441843,0.0117647089064121,0.926568147903457,2.13259069233684,0.0980392172932625,0.150326803326607,0.235294118523598,0.150326803326607,0.0448968744563485,0.0456905810887407,0.0611961903287498,0.0562626036825077,0.0549019649624825,0.0535947717726231,0.0248366016894579,0.0183006543666124,0.0156862754374743,0.0183006543666124,0.00863318678075824,0.0182915486529526,0.0241665247234358,0.019896658541055,0.0692810490727425,0.0666666701436043,3260.26150523133,3260.0202727766,1211.13406928306,1212.3224377937,3260.30031803726,1210.20831440254,3274,3274,1255,1282,7
8,8,NA,0,7,NA,0,16127615,1380,1289,1252,7.91933498837803,0.990351430876602,1,0.118801652892562,0.0824614855119356,164.936120307883,146.478667388804,6.32455532033676,2.25698895885383,2,32.7261778557762,22.8566255578981,-38.1932083357269,458.583999999999,0.394962793360046,1,0,0,0,28.0784323140979,30.9398700781167,94.8509834464639,80.1333354711533,0.0509803965687752,0.0509803928434849,0.0117647051811218,0.00653594732284546,2.0213435715554,1.93270820137,0.0967320278286934,0.0928104594349861,0.197385624051094,0.0928104594349861,0.052679985579921,0.0580485367319262,0.0687325967003362,0.0580676343993864,0.0614379085600376,0.0588235296308994,0.0274509806185961,0.0339869298040867,0.0274509806185961,0.0326797403395176,0.0106933598894623,0.0102601670333884,0.0255328857907396,0.00973825117743552,0.0784313753247261,0.062745101749897,1298.59297694402,1298.61389526851,1245.53943578852,1245.71885084154,1297.00652173913,1246.79202898551,1340,1342,1212,1195,8
8,9,NA,0,7,NA,0,16127615,1306,407,1333,1.84208921902665,0.688819278641148,1,0.342243186582809,0.135231084370797,63.3194527648509,71.7007670809734,10.1980390271856,3.28986290283364,2.82842712474619,50.3948814641361,45.9023672659598,-87.2317142734219,348.367999999999,0.535465354653546,1,0,0,0,19.5228764601052,24.7202621363103,91.0026173889637,86.9215711820871,0.0496732033789158,0.052287582308054,0.0156862735748291,0.0117647051811218,0.758505594184424,1.47356791491607,0.113725490868092,0.141176477074623,0.2183006554842,0.163398697972298,0.0493001930810737,0.0624249043846221,0.0696804114770013,0.0665555675207405,0.0614379085600376,0.0614379085600376,0.026143791154027,0.0313725508749485,0.0248366016894579,0.0274509806185961,0.010145617288296,0.0197271134156577,0.0285270579624993,0.0222495128247037,0.0836601331830025,0.0758169963955879,410.381487288319,409.933664189981,1321.14216353985,1321.85113168105,410.209035222052,1320.40352220521,413,413,1337,1336,9
8,10,NA,0,7,NA,0,16127615,5781,1537,1340,2.9500367936738,0.928151619195383,1,0.279802526499201,0.0779338748680162,194.930682842922,216.120336849636,22.8035085019828,5.59781776435314,4.12310562561766,87.919787534124,72.5536536428185,3.4223032193896,965.479999999997,0.455465826275359,1,1,1,1,57.8849690640345,92.2457547355443,456.469295735471,667.586954738945,0.052287582308054,0.0692810490727425,0.0183006562292576,0.0405228808522224,4.19868453008421,5.81040573316533,0.104575164616108,0.253594785928726,0.32026144862175,0.339869290590286,0.0516369037145714,0.0822888088631082,0.0789602656522178,0.115479493987017,0.0679738596081734,0.109803929924965,0.0143790850415826,0.0222222227603197,0.0143790850415826,0.0222222227603197,0.011183447931081,0.0405072512834017,0.0370777026891036,0.0539129753849357,0.0941176488995552,0.149019613862038,1517.51718937371,1519.26138047871,1350.00833908785,1349.8663198292,1513.63950873551,1348.39820100329,1574,1492,1384,1357,10
8,13,NA,0,7,NA,0,16127615,1448,3891,1624,2.71936598618444,0.923680822358158,1,0.277394636015326,0.106168218051027,93.3872821036589,89.8053450525079,8.24621125123532,2.84756658411268,2.23606797749979,44.2057544312074,35.7825333609376,19.0217471610548,413.991999999999,0.467851373182552,1,0,0,0,19.5202620998025,21.8718961048871,88.4444473357871,78.3973880689591,0.0392156876623631,0.0339869298040867,0.0117647051811218,0.0156862735748291,2.87877994585975,3.50783118433293,0.0901960805058479,0.133333340287209,0.317647069692612,0.137254908680916,0.040922981341305,0.04585303166643,0.0610804194307922,0.0541418425890602,0.0483660139143467,0.0470588244497776,0.0183006543666124,0.0169934649020433,0.0143790850415826,0.0169934649020433,0.00956834827091718,0.0221672762125272,0.0373929067068013,0.026526743093485,0.0679738596081734,0.0692810490727425,3879.59722136784,3879.80026347051,1622.65561631062,1623.84846768002,3876.7796961326,1622.06491712707,3896,3894,1621,1627,13
8,14,NA,0,7,NA,0,16127615,4201,2142,1913,2.08167260589895,0.839999962080435,1,0.308330275229358,0.104426597498945,130.950414357327,131.590273196768,19.1049731745428,5.40180596953782,4.12310562561766,86.612587422682,71.0519214152896,-59.8772889736473,711.009999999998,0.450533540672422,1,1,1,1,38.4653606507927,46.5594785623252,305.899356301874,404.324197694659,0.0496732033789158,0.0549019612371922,0.0156862773001194,0.0300653614103794,1.37464975931474,3.76605071653371,0.10196078568697,0.152941182255745,0.267973870038986,0.311111122369766,0.0477237725195939,0.0577661024346467,0.0728158429664066,0.0962447507009424,0.062745101749897,0.0797385647892952,0.0183006543666124,0.0222222227603197,0.0117647061124444,0.0222222227603197,0.00982767343400805,0.0209470691961876,0.0336264834104112,0.0546893108464771,0.0875817015767097,0.122875817120075,2147.50450190183,2143.77807231082,1906.85407219224,1909.29765475573,2147.3877648179,1908.22375624851,2130,2133,1897,1898,14
8,15,NA,0,7,NA,0,16127615,3060,3557,1920,1.17501137602823,0.62178558446369,1,0.572390572390572,0.241254959759279,75.2492924469158,84.504437753292,18.1107702762748,6.4160187265332,5.3851648071345,63.154274592333,58.9343065156027,9.43617779077221,399.233999999999,0.798434442270059,1,0,0,0,20.4392163772136,21.2627458218485,367.088900010101,224.329419041052,0.0496732033789158,0.0418300665915012,0.037908498197794,0.0248365998268127,3.12400194637376,1.83273320310501,0.0901960805058479,0.111111119389534,0.543790876865387,0.2183006554842,0.0433034245279949,0.0450481903005265,0.119963692813759,0.0733102676604747,0.0823529437184334,0.0614379085600376,0.0196078438311815,0.0196078438311815,0.0104575166478753,0.0196078438311815,0.00966752261138832,0.0181739389831385,0.107258263890154,0.0378390480591761,0.141176477074623,0.0993464067578316,3563.80206038782,3565.10292983776,1923.23722774326,1927.69158917835,3565.44901960784,1925.89183006536,3556,3582,1910,1921,15
8,16,NA,0,7,NA,0,16127615,1887,2432,2113,2.41794739038805,0.907395283765106,1,0.315340909090909,0.0931354063483436,99.2370300778089,94.6255779374689,9.48683298050514,3.01881990974488,2.82842712474619,50.8689716367377,41.7071643419622,-26.7632683233317,504.583999999999,0.552967032967033,1,1,1,1,26.0039223972708,56.0797405932099,114.840526808053,194.030072489753,0.0444444455206394,0.0640522912144661,0.0104575175791979,0.0294117666780949,1.3429146691369,6.3416479542115,0.0836601331830025,0.384313732385635,0.205228760838509,0.384313732385635,0.0457815535163218,0.0987319376641019,0.0608587847419466,0.102824627710521,0.0522875841706991,0.0882352963089943,0.0222222227603197,0.0300653595477343,0.0196078438311815,0.0300653595477343,0.00845070438311229,0.0660122884298093,0.0252970606774922,0.0567158828809696,0.0692810490727425,0.129411771893501,2422.95947775936,2415.33716214968,2116.01121191765,2116.98257802427,2421.62321144674,2116.14467408585,2421,2388,2118,2112,16
8,17,NA,0,7,NA,0,16127615,2119,461,2235,1.40622393668681,0.579182512555195,1,0.445448812276645,0.129191202733095,67.4520419348159,72.9177618965366,14.3178210632764,4.40894477916229,3.60555127546399,55.1543289325507,54.9867629767596,-41.7114851389636,453.997999999999,0.637005862017135,1,1,1,1,23.4915040675551,38.9019620325416,122.223533336073,191.218307381496,0.0431372560560703,0.0549019612371922,0.00915032625198364,0.0352941192686558,1.01319468340451,1.84364081519651,0.0836601331830025,0.190849676728249,0.196078434586525,0.190849676728249,0.0456145710049613,0.0755377903544498,0.0576798175252823,0.0902398807840943,0.052287582308054,0.0901960805058479,0.026143791154027,0.0235294122248888,0.0117647061124444,0.0235294122248888,0.00838303776374672,0.0379303516944566,0.0220301729214528,0.0367798226596356,0.0640522912144661,0.123202620074153,450.026652107875,448.898312854173,2233.97666334886,2236.4981884458,449.320906087777,2234.70363378952,447,432,2221,2247,17
8,18,NA,0,7,NA,0,16127615,4034,1737,2378,2.9975903990639,0.897393270489967,1,0.26321284092392,0.0758774314654844,160.258457986484,164.91512968797,16.4012194668567,4.42376985549185,3.60555127546399,79.6096554050091,70.711094603407,-60.0812347359085,817.365999999997,0.44312627011589,1,1,0,0,42.5516352821141,61.8405246641487,292.109814075753,311.798702601343,0.0470588244497776,0.0509803928434849,0.0156862773001194,0.0183006562292576,4.04791250343738,6.76448626293608,0.0862745121121407,0.218300670385361,0.266666680574417,0.224836617708206,0.04610144667618,0.0669994850099119,0.0724119519275541,0.0772926878040018,0.0601307228207588,0.0653594806790352,0.026143791154027,0.0248366016894579,0.0222222227603197,0.0248366016894579,0.00737689741778043,0.0302747331212817,0.0340704186319327,0.0327720719300531,0.0888888910412788,0.0993464104831219,1754.31626571497,1749.73894244768,2350.28055079376,2352.0431316884,1753.38026772434,2346.34234010907,1735,1709,2382,2349,18
